model,hour,regime,mae,n
lgbm-nohijri,0,aggregate,694.167916558785,456
lgbm-nohijri,1,aggregate,670.8502531283511,456
lgbm-nohijri,2,aggregate,660.3866306291499,456
lgbm-nohijri,3,aggregate,679.6762212763368,456
lgbm-nohijri,4,aggregate,788.8992191039242,456
lgbm-nohijri,5,aggregate,1011.6444488543511,456
lgbm-nohijri,6,aggregate,1153.0952581716217,456
lgbm-nohijri,7,aggregate,1286.64368169194,456
lgbm-nohijri,8,aggregate,1381.0378949061028,456
lgbm-nohijri,9,aggregate,1254.0243515915608,456
lgbm-nohijri,10,aggregate,1393.9814923993738,456
lgbm-nohijri,11,aggregate,1494.4450138654765,456
lgbm-nohijri,12,aggregate,1455.912882624404,456
lgbm-nohijri,13,aggregate,1459.0292609578107,456
lgbm-nohijri,14,aggregate,1363.1754774332394,456
lgbm-nohijri,15,aggregate,1143.9564847784607,456
lgbm-nohijri,16,aggregate,998.6668757537005,456
lgbm-nohijri,17,aggregate,1005.6124091769157,456
lgbm-nohijri,18,aggregate,895.2126296621552,456
lgbm-nohijri,19,aggregate,785.6262277307351,456
lgbm-nohijri,20,aggregate,747.9449161735768,456
lgbm-nohijri,21,aggregate,612.402308475463,456
lgbm-nohijri,22,aggregate,583.5728871546246,456
lgbm-nohijri,23,aggregate,558.0502459484949,456
lgbm-nohijri,0,Heatwave,1105.2814510065398,64
lgbm-nohijri,1,Heatwave,1053.9169530037684,64
lgbm-nohijri,2,Heatwave,920.6465473882683,64
lgbm-nohijri,3,Heatwave,874.8479139388612,64
lgbm-nohijri,4,Heatwave,925.2839140004106,64
lgbm-nohijri,5,Heatwave,1181.8341093605977,64
lgbm-nohijri,6,Heatwave,1349.333038892164,64
lgbm-nohijri,7,Heatwave,2043.2758437416217,64
lgbm-nohijri,8,Heatwave,2634.943678710508,64
lgbm-nohijri,9,Heatwave,2178.309552531631,64
lgbm-nohijri,10,Heatwave,2557.8026113951737,64
lgbm-nohijri,11,Heatwave,3154.891023341074,64
lgbm-nohijri,12,Heatwave,2985.07672684669,64
lgbm-nohijri,13,Heatwave,2924.826279971976,64
lgbm-nohijri,14,Heatwave,2417.8269651099927,64
lgbm-nohijri,15,Heatwave,1602.8534000853588,64
lgbm-nohijri,16,Heatwave,1513.566472391467,64
lgbm-nohijri,17,Heatwave,2038.0306548055792,64
lgbm-nohijri,18,Heatwave,1785.9798592264087,64
lgbm-nohijri,19,Heatwave,1416.7964574258926,64
lgbm-nohijri,20,Heatwave,1249.6279466215087,64
lgbm-nohijri,21,Heatwave,956.7144641021738,64
lgbm-nohijri,22,Heatwave,891.2022762592046,64
lgbm-nohijri,23,Heatwave,890.0686340928787,64
lgbm-nohijri,0,Normal,611.2566160464822,333
lgbm-nohijri,1,Normal,571.3362991374185,333
lgbm-nohijri,2,Normal,581.3456430031738,333
lgbm-nohijri,3,Normal,646.926562027228,333
lgbm-nohijri,4,Normal,773.6347684310134,333
lgbm-nohijri,5,Normal,963.9231760612273,333
lgbm-nohijri,6,Normal,1096.2918547044917,333
lgbm-nohijri,7,Normal,1141.6248135694864,333
lgbm-nohijri,8,Normal,1171.6997924939826,333
lgbm-nohijri,9,Normal,1092.058056985228,333
lgbm-nohijri,10,Normal,1201.3853204326977,333
lgbm-nohijri,11,Normal,1209.323302359283,333
lgbm-nohijri,12,Normal,1206.9764334735169,333
lgbm-nohijri,13,Normal,1237.291383450372,333
lgbm-nohijri,14,Normal,1212.6619160187004,333
lgbm-nohijri,15,Normal,1095.8017311617778,333
lgbm-nohijri,16,Normal,939.6716113155438,333
lgbm-nohijri,17,Normal,857.5890542181819,333
lgbm-nohijri,18,Normal,755.3154717868925,333
lgbm-nohijri,19,Normal,679.0154341733949,333
lgbm-nohijri,20,Normal,669.4132853344134,333
lgbm-nohijri,21,Normal,569.5566778658285,333
lgbm-nohijri,22,Normal,547.1779554442073,333
lgbm-nohijri,23,Normal,509.82832681623586,333
lgbm-nohijri,0,Ramadan,716.1712532696429,59
lgbm-nohijri,1,Ramadan,816.9837766360448,59
lgbm-nohijri,2,Ramadan,824.1834815929877,59
lgbm-nohijri,3,Ramadan,652.8058517772117,59
lgbm-nohijri,4,Ramadan,727.1100936921301,59
lgbm-nohijri,5,Ramadan,1096.3740347477492,59
lgbm-nohijri,6,Ramadan,1260.8294172977153,59
lgbm-nohijri,7,Ramadan,1284.3864734478266,59
lgbm-nohijri,8,Ramadan,1202.387351512106,59
lgbm-nohijri,9,Ramadan,1165.5586438584157,59
lgbm-nohijri,10,Ramadan,1218.5573169616105,59
lgbm-nohijri,11,Ramadan,1302.5295109014796,59
lgbm-nohijri,12,Ramadan,1202.1730781671017,59
lgbm-nohijri,13,Ramadan,1120.5157693149374,59
lgbm-nohijri,14,Ramadan,1068.6554899710227,59
lgbm-nohijri,15,Ramadan,917.9586945193741,59
lgbm-nohijri,16,Ramadan,773.1049922467372,59
lgbm-nohijri,17,Ramadan,721.1549427535919,59
lgbm-nohijri,18,Ramadan,718.5456954308023,59
lgbm-nohijri,19,Ramadan,702.6855422070769,59
lgbm-nohijri,20,Ramadan,646.9842233053353,59
lgbm-nohijri,21,Ramadan,480.73480055849313,59
lgbm-nohijri,22,Ramadan,455.28867286438424,59
lgbm-nohijri,23,Ramadan,470.0624871315745,59
lgbm-hijri,0,aggregate,671.1194276417622,456
lgbm-hijri,1,aggregate,643.6300312773875,456
lgbm-hijri,2,aggregate,640.8819936021068,456
lgbm-hijri,3,aggregate,686.8426335720028,456
