model,horizon,mae,n
chronos-bolt-L720,1,369.23504347987824,10921
chronos-bolt-L720,2,459.6118325541339,10922
chronos-bolt-L720,3,530.7777760087658,10923
chronos-bolt-L720,4,591.3759009548929,10924
chronos-bolt-L720,5,636.8392614774027,10925
chronos-bolt-L720,6,671.2282113836834,10926
chronos-bolt-L720,7,703.216302457502,10927
chronos-bolt-L720,8,728.3707355245699,10928
chronos-bolt-L720,9,752.2169770650333,10929
chronos-bolt-L720,10,777.8934407307868,10930
chronos-bolt-L720,11,795.458836522848,10931
chronos-bolt-L720,12,807.6029284154318,10932
chronos-bolt-L720,13,825.6046085460875,10933
chronos-bolt-L720,14,846.1335507576711,10934
chronos-bolt-L720,15,860.2017356752971,10935
chronos-bolt-L720,16,872.9619378157576,10936
chronos-bolt-L720,17,884.8472574674843,10937
chronos-bolt-L720,18,893.107495464493,10938
chronos-bolt-L720,19,906.0984948992709,10939
chronos-bolt-L720,20,918.0093501771022,10940
chronos-bolt-L720,21,931.3074213823006,10941
chronos-bolt-L720,22,941.6155529796313,10942
chronos-bolt-L720,23,952.384191406607,10943
chronos-bolt-L720,24,968.8640784405268,10944
timesfm-2.5-L168,1,413.09832520201905,10921
timesfm-2.5-L168,2,562.166603801387,10922
timesfm-2.5-L168,3,677.9618883820264,10923
timesfm-2.5-L168,4,755.9661467797396,10924
timesfm-2.5-L168,5,816.3686131507436,10925
timesfm-2.5-L168,6,865.457653411301,10926
timesfm-2.5-L168,7,911.0421319538184,10927
timesfm-2.5-L168,8,941.8982393207243,10928
timesfm-2.5-L168,9,951.7075844584933,10929
timesfm-2.5-L168,10,995.4520270614136,10930
timesfm-2.5-L168,11,1030.7560850233851,10931
timesfm-2.5-L168,12,1038.4085822299214,10932
timesfm-2.5-L168,13,1055.4284390077632,10933
timesfm-2.5-L168,14,1094.9998990105405,10934
timesfm-2.5-L168,15,1110.5495469821674,10935
timesfm-2.5-L168,16,1122.050630786508,10936
timesfm-2.5-L168,17,1108.9423705012227,10937
timesfm-2.5-L168,18,1112.0661195488206,10938
timesfm-2.5-L168,19,1115.0755980394117,10939
timesfm-2.5-L168,20,1120.1792225348493,10940
timesfm-2.5-L168,21,1133.4638555019537,10941
timesfm-2.5-L168,22,1158.9310785491111,10942
timesfm-2.5-L168,23,1155.323443861087,10943
timesfm-2.5-L168,24,1173.2020885373836,10944
moirai-1.1-small-L336,1,870.9230126233289,10921
moirai-1.1-small-L336,2,1086.4199224400866,10922
moirai-1.1-small-L336,3,1288.4001680942736,10923
moirai-1.1-small-L336,4,1381.6247078179351,10924
moirai-1.1-small-L336,5,1348.311959360698,10925
moirai-1.1-small-L336,6,1376.7249434834341,10926
moirai-1.1-small-L336,7,1394.4649529190883,10927
moirai-1.1-small-L336,8,1404.4985834338968,10928
moirai-1.1-small-L336,9,1459.310543250755,10929
moirai-1.1-small-L336,10,1552.1698450151534,10930
moirai-1.1-small-L336,11,1601.9202968478407,10931
moirai-1.1-small-L336,12,1601.7008110864322,10932
moirai-1.1-small-L336,13,1606.6657670727386,10933
moirai-1.1-small-L336,14,1650.0022463545477,10934
moirai-1.1-small-L336,15,1654.165841971022,10935
moirai-1.1-small-L336,16,1644.4683667474396,10936
moirai-1.1-small-L336,17,1649.9322097653035,10937
moirai-1.1-small-L336,18,1626.6347704104953,10938
moirai-1.1-small-L336,19,1651.1287671262226,10939
moirai-1.1-small-L336,20,1671.4300443041589,10940
moirai-1.1-small-L336,21,1668.967262518851,10941
moirai-1.1-small-L336,22,1715.344326684164,10942
moirai-1.1-small-L336,23,1716.2224440495636,10943
moirai-1.1-small-L336,24,1727.1380471962375,10944
time-moe-200m-L720,1,262.4791399310961,10921
time-moe-200m-L720,2,383.3419195631524,10922
time-moe-200m-L720,3,470.79247654748,10923
time-moe-200m-L720,4,544.5528531215672,10924
time-moe-200m-L720,5,596.6405511441646,10925
time-moe-200m-L720,6,640.8776338121224,10926
time-moe-200m-L720,7,680.2851501727373,10927
time-moe-200m-L720,8,714.3033912312409,10928
time-moe-200m-L720,9,742.5415122037697,10929
time-moe-200m-L720,10,770.9400125872027,10930
time-moe-200m-L720,11,795.7784227126407,10931
time-moe-200m-L720,12,812.1371485446966,10932
time-moe-200m-L720,13,841.7272587435973,10933
time-moe-200m-L720,14,848.3629746447435,10934
time-moe-200m-L720,15,866.1882701331733,10935
time-moe-200m-L720,16,876.491323831554,10936
time-moe-200m-L720,17,890.6177126668648,10937
time-moe-200m-L720,18,908.4000131851114,10938
time-moe-200m-L720,19,917.5573044553889,10939
time-moe-200m-L720,20,930.6621751385399,10940
time-moe-200m-L720,21,942.9841177394665,10941
time-moe-200m-L720,22,951.9213486665485,10942
time-moe-200m-L720,23,965.4005746110528,10943
time-moe-200m-L720,24,985.9342032806218,10944
patchtsmixer-nohijri-L168,1,1257.953972800396,10921
patchtsmixer-nohijri-L168,2,1281.2481532185611,10922
patchtsmixer-nohijri-L168,3,1307.0876711197131,10923
patchtsmixer-nohijri-L168,4,1321.5672213417704,10924
patchtsmixer-nohijri-L168,5,1332.0218500143021,10925
patchtsmixer-nohijri-L168,6,1350.5663011037318,10926
patchtsmixer-nohijri-L168,7,1358.940035963096,10927
patchtsmixer-nohijri-L168,8,1371.867747686562,10928
patchtsmixer-nohijri-L168,9,1383.5548420558262,10929
patchtsmixer-nohijri-L168,10,1388.176560098353,10930
patchtsmixer-nohijri-L168,11,1392.844751080642,10931
patchtsmixer-nohijri-L168,12,1407.0515380877243,10932
patchtsmixer-nohijri-L168,13,1418.710361463002,10933
patchtsmixer-nohijri-L168,14,1431.2225666999154,10934
patchtsmixer-nohijri-L168,15,1447.2910582347392,10935
patchtsmixer-nohijri-L168,16,1461.6107764564856,10936
patchtsmixer-nohijri-L168,17,1479.3203861605105,10937
patchtsmixer-nohijri-L168,18,1492.96841362252,10938
patchtsmixer-nohijri-L168,19,1502.6871828577796,10939
patchtsmixer-nohijri-L168,20,1506.6787384812044,10940
patchtsmixer-nohijri-L168,21,1507.5319657638129,10941
patchtsmixer-nohijri-L168,22,1516.2617490518187,10942
patchtsmixer-nohijri-L168,23,1526.8018669254889,10943
patchtsmixer-nohijri-L168,24,1550.5857187014574,10944
patchtsmixer-hijri-L168,1,1269.7619597349717,10921
patchtsmixer-hijri-L168,2,1285.1216978060338,10922
patchtsmixer-hijri-L168,3,1301.8193784259704,10923
patchtsmixer-hijri-L168,4,1312.1181050324972,10924
patchtsmixer-hijri-L168,5,1334.2774134510869,10925
patchtsmixer-hijri-L168,6,1350.9014746218882,10926
patchtsmixer-hijri-L168,7,1365.2800201479135,10927
patchtsmixer-hijri-L168,8,1394.100206793901,10928
patchtsmixer-hijri-L168,9,1408.2862826825417,10929
patchtsmixer-hijri-L168,10,1414.990869439044,10930
patchtsmixer-hijri-L168,11,1422.805553078687,10931
patchtsmixer-hijri-L168,12,1427.5988009399011,10932
patchtsmixer-hijri-L168,13,1449.7109139831819,10933
patchtsmixer-hijri-L168,14,1462.380878681178,10934
