model_i,model_j,dm_stat,p_raw,p_holm
lgbm-nohijri,lgbm-hijri,0.0661533196628566,0.9472557608301959,1.0
lgbm-nohijri,chronos-bolt-L720,3.184642702803155,0.001449328324548027,0.12029425093748625
lgbm-nohijri,timesfm-2.5-L168,0.3204951135572886,0.7485930339955362,1.0
lgbm-nohijri,moirai-1.1-small-L336,-3.4486613453196386,0.000563372781981597,0.05070355037834373
lgbm-nohijri,time-moe-200m-L720,2.779278313990762,0.005447982546141095,0.403150708414441
lgbm-nohijri,mstl_ets-nohijri,-5.459469001686113,4.775607043150387e-08,6.208289156095503e-06
lgbm-nohijri,mstl_ets-hijri,-5.459469001686113,4.775607043150387e-08,6.208289156095503e-06
lgbm-nohijri,sarimax-nohijri,-6.302868455303255,2.921869413086142e-10,4.5288975902835205e-08
lgbm-nohijri,sarimax-hijri,-6.286056284225445,3.256319658362372e-10,5.014732273878053e-08
lgbm-nohijri,patchtsmixer-nohijri-L168,-1.9696426885008425,0.04887933558104818,1.0
lgbm-nohijri,patchtsmixer-hijri-L168,-1.3622298137987614,0.17312536967346848,1.0
lgbm-nohijri,chronos-bolt-L720+res-nh,1.2437305350481436,0.21359875385912952,1.0
lgbm-nohijri,chronos-bolt-L720+res-h,1.2135276722233923,0.2249281410970676,1.0
lgbm-nohijri,moirai-L336+res-nh,-5.983532478408282,2.183494718366319e-09,3.144232394447499e-07
lgbm-nohijri,moirai-L336+res-h,-4.86969713877451,1.117694253371937e-06,0.00013524100465800437
lgbm-nohijri,timesfm-L168+res-nh,-1.712514216283986,0.08680194701526234,1.0
lgbm-nohijri,timesfm-L168+res-h,-1.0990004141257899,0.2717678852645715,1.0
lgbm-nohijri,time-moe-L720+res-nh,0.40280796765510946,0.6870894992527572,1.0
lgbm-nohijri,time-moe-L720+res-h,0.28793457697717023,0.7733968185954168,1.0
lgbm-hijri,chronos-bolt-L720,3.1922275589785536,0.001411800589642187,0.11859124952994371
lgbm-hijri,timesfm-2.5-L168,0.310317641598523,0.7563194168380356,1.0
lgbm-hijri,moirai-1.1-small-L336,-3.4043151482137626,0.0006633017786312756,0.05903385829818353
lgbm-hijri,time-moe-200m-L720,2.803977690606165,0.0050476397601464384,0.3836206217711293
lgbm-hijri,mstl_ets-nohijri,-5.462825750980656,4.6861453384394736e-08,6.185711846740105e-06
lgbm-hijri,mstl_ets-hijri,-5.462825750980656,4.6861453384394736e-08,6.185711846740105e-06
lgbm-hijri,sarimax-nohijri,-6.25464221268198,3.984281793378841e-10,6.095951143869627e-08
lgbm-hijri,sarimax-hijri,-6.237838794328649,4.4365755513808836e-10,6.743594838098943e-08
lgbm-hijri,patchtsmixer-nohijri-L168,-2.0080459913123527,0.044638404648131846,1.0
lgbm-hijri,patchtsmixer-hijri-L168,-1.3904619873020572,0.16438863459073683,1.0
lgbm-hijri,chronos-bolt-L720+res-nh,1.2460212174875474,0.212756605788605,1.0
lgbm-hijri,chronos-bolt-L720+res-h,1.2153001346330374,0.22425164059096225,1.0
lgbm-hijri,moirai-L336+res-nh,-5.875777488297599,4.2086332197044385e-09,5.934172839783258e-07
lgbm-hijri,moirai-L336+res-h,-4.760942215284443,1.926912193139785e-06,0.0002293025509836344
lgbm-hijri,timesfm-L168+res-nh,-1.6773376469347538,0.09347647478035404,1.0
lgbm-hijri,timesfm-L168+res-h,-1.078801215734536,0.28067635279010084,1.0
lgbm-hijri,time-moe-L720+res-nh,0.40087620979865907,0.6885112661325419,1.0
lgbm-hijri,time-moe-L720+res-h,0.2843437325571947,0.7761469748652581,1.0
chronos-bolt-L720,timesfm-2.5-L168,-2.8515902888328877,0.004350113012877133,0.3349587019915392
chronos-bolt-L720,moirai-1.1-small-L336,-6.814435867438175,9.463541061904834e-12,1.5330936520285832e-09
chronos-bolt-L720,time-moe-200m-L720,-0.5580987680916183,0.5767769417848718,1.0
chronos-bolt-L720,mstl_ets-nohijri,-11.68102705155022,0.0,0.0
chronos-bolt-L720,mstl_ets-hijri,-11.68102705155022,0.0,0.0
chronos-bolt-L720,sarimax-nohijri,-9.834273512554672,0.0,0.0
chronos-bolt-L720,sarimax-hijri,-9.844248481954441,0.0,0.0
chronos-bolt-L720,patchtsmixer-nohijri-L168,-5.527889266730116,3.2410650607772595e-08,4.343027181441528e-06
