model_i,model_j,dm_stat,p_raw,p_holm
lgbm-nohijri,lgbm-hijri,0.8587089395115611,0.39050111720283365,1.0
lgbm-nohijri,chronos-bolt-L720,-0.40137373604976434,0.6881449831034827,1.0
lgbm-nohijri,timesfm-2.5-L168,-5.038719730807119,4.686561680955492e-07,8.904467193815435e-06
lgbm-nohijri,moirai-1.1-small-L336,-18.634048083027327,0.0,0.0
lgbm-nohijri,time-moe-200m-L720,-0.5822633686532139,0.5603892954746097,1.0
lgbm-nohijri,mstl_ets-nohijri,-10.160598856118106,0.0,0.0
lgbm-nohijri,mstl_ets-hijri,-10.170066597502316,0.0,0.0
lgbm-nohijri,sarimax-nohijri,-19.20968649233784,0.0,0.0
lgbm-nohijri,sarimax-hijri,-19.143861917376285,0.0,0.0
lgbm-nohijri,patchtsmixer-nohijri-L168,-19.21908874471157,0.0,0.0
lgbm-nohijri,patchtsmixer-hijri-L168,-17.56761997743541,0.0,0.0
lgbm-hijri,chronos-bolt-L720,-0.6816446462518122,0.4954636767922882,1.0
lgbm-hijri,timesfm-2.5-L168,-4.594153799742068,4.3450883435713905e-06,7.821159018428503e-05
lgbm-hijri,moirai-1.1-small-L336,-17.44053003836652,0.0,0.0
lgbm-hijri,time-moe-200m-L720,-0.8189084160825112,0.4128386678427627,1.0
lgbm-hijri,mstl_ets-nohijri,-9.461256294014207,0.0,0.0
lgbm-hijri,mstl_ets-hijri,-9.450925964762087,0.0,0.0
lgbm-hijri,sarimax-nohijri,-18.358903564867994,0.0,0.0
lgbm-hijri,sarimax-hijri,-19.08140728382736,0.0,0.0
lgbm-hijri,patchtsmixer-nohijri-L168,-20.4449679883222,0.0,0.0
lgbm-hijri,patchtsmixer-hijri-L168,-20.035691900123652,0.0,0.0
chronos-bolt-L720,timesfm-2.5-L168,-5.891522344963158,3.8265390855940495e-09,8.801039896866314e-08
chronos-bolt-L720,moirai-1.1-small-L336,-15.202366662353942,0.0,0.0
chronos-bolt-L720,time-moe-200m-L720,-0.20270699281030508,0.8393640571780387,1.0
chronos-bolt-L720,mstl_ets-nohijri,-10.216121628041986,0.0,0.0
chronos-bolt-L720,mstl_ets-hijri,-10.234295205217462,0.0,0.0
chronos-bolt-L720,sarimax-nohijri,-19.370535612758193,0.0,0.0
chronos-bolt-L720,sarimax-hijri,-18.968706283543657,0.0,0.0
chronos-bolt-L720,patchtsmixer-nohijri-L168,-15.107552975163216,0.0,0.0
chronos-bolt-L720,patchtsmixer-hijri-L168,-13.89277198555363,0.0,0.0
timesfm-2.5-L168,moirai-1.1-small-L336,-12.292669177360724,0.0,0.0
timesfm-2.5-L168,time-moe-200m-L720,5.455221398823492,4.8911864114487e-08,9.7823728228974e-07
timesfm-2.5-L168,mstl_ets-nohijri,-5.857940862794095,4.686414589727406e-09,9.841470638427552e-08
timesfm-2.5-L168,mstl_ets-hijri,-5.881655400814782,4.061833314139562e-09,8.936033291107037e-08
timesfm-2.5-L168,sarimax-nohijri,-19.019641011611167,0.0,0.0
timesfm-2.5-L168,sarimax-hijri,-18.073464550337253,0.0,0.0
timesfm-2.5-L168,patchtsmixer-nohijri-L168,-9.520537581468902,0.0,0.0
timesfm-2.5-L168,patchtsmixer-hijri-L168,-8.846167530811051,0.0,0.0
moirai-1.1-small-L336,time-moe-200m-L720,15.426771771843079,0.0,0.0
moirai-1.1-small-L336,mstl_ets-nohijri,4.341533926625855,1.4149142516073354e-05,0.00024053542277324702
moirai-1.1-small-L336,mstl_ets-hijri,4.31849126260754,1.5709944022335165e-05,0.00025135910435736264
moirai-1.1-small-L336,sarimax-nohijri,-10.462845490935814,0.0,0.0
moirai-1.1-small-L336,sarimax-hijri,-10.052628106587967,0.0,0.0
moirai-1.1-small-L336,patchtsmixer-nohijri-L168,3.2539941113213766,0.0011379463861713734,0.0170691957925706
moirai-1.1-small-L336,patchtsmixer-hijri-L168,2.995036706378133,0.002744118168430454,0.038417654358026354
time-moe-200m-L720,mstl_ets-nohijri,-10.589272825795634,0.0,0.0
time-moe-200m-L720,mstl_ets-hijri,-10.614182146323772,0.0,0.0
