model_i,model_j,dm_stat,p_raw,p_holm
lgbm-nohijri,lgbm-hijri,2.081173786372139,0.037418002002317374,0.4115980220254911
lgbm-nohijri,chronos-bolt-L720,-3.050990573371482,0.002280877355767208,0.04333666975957695
lgbm-nohijri,timesfm-2.5-L168,-5.190547545655835,2.0967657099468795e-07,8.17738626879283e-06
lgbm-nohijri,moirai-1.1-small-L336,-8.161745614287742,2.220446049250313e-16,1.2212453270876722e-14
lgbm-nohijri,time-moe-200m-L720,-3.0682095913495226,0.002153455235930135,0.0430691047186027
lgbm-nohijri,mstl_ets-nohijri,-10.766489583521361,0.0,0.0
lgbm-nohijri,mstl_ets-hijri,-4.7187073538349384,2.3734796548158243e-06,8.256681537477384e-05
lgbm-nohijri,sarimax-nohijri,-6.671101616216969,2.538902421633793e-11,1.2440621866005586e-09
lgbm-nohijri,sarimax-hijri,-6.882768422732737,5.869971175798128e-12,2.934985587899064e-10
lgbm-nohijri,patchtsmixer-nohijri-L168,-13.260085268835176,0.0,0.0
lgbm-nohijri,patchtsmixer-hijri-L168,-13.261031972915772,0.0,0.0
lgbm-hijri,chronos-bolt-L720,-3.2138363796976974,0.001309742846216544,0.028814342616763966
lgbm-hijri,timesfm-2.5-L168,-4.719947788405144,2.359051867850681e-06,8.256681537477384e-05
lgbm-hijri,moirai-1.1-small-L336,-9.165747282046516,0.0,0.0
lgbm-hijri,time-moe-200m-L720,-3.032839167632908,0.002422646812212159,0.043607642619818865
lgbm-hijri,mstl_ets-nohijri,-8.643395265107698,0.0,0.0
lgbm-hijri,mstl_ets-hijri,-4.166421972892272,3.0941773048853705e-05,0.0009282531914656111
lgbm-hijri,sarimax-nohijri,-6.933359729437167,4.1096015479524795e-12,2.0958967894557645e-10
lgbm-hijri,sarimax-hijri,-7.198248313958309,6.09956529729061e-13,3.171773954591117e-11
lgbm-hijri,patchtsmixer-nohijri-L168,-11.012673808376617,0.0,0.0
lgbm-hijri,patchtsmixer-hijri-L168,-13.662028261078937,0.0,0.0
chronos-bolt-L720,timesfm-2.5-L168,-3.092315762022495,0.0019860147125516647,0.04170630896358496
chronos-bolt-L720,moirai-1.1-small-L336,-6.419645555600132,1.3659207098726256e-10,6.556419407388603e-09
chronos-bolt-L720,time-moe-200m-L720,-1.1102960271867883,0.2668714844960287,0.7398623750376454
chronos-bolt-L720,mstl_ets-nohijri,-11.061030860625166,0.0,0.0
chronos-bolt-L720,mstl_ets-hijri,-3.759776099755689,0.00017006549461417997,0.004761833849197039
chronos-bolt-L720,sarimax-nohijri,-6.067199445833228,1.3015988287179425e-09,5.8571947292307414e-08
chronos-bolt-L720,sarimax-hijri,-6.247988609950911,4.157720834285783e-10,1.954128792114318e-08
chronos-bolt-L720,patchtsmixer-nohijri-L168,-7.456860947762831,8.859579736508749e-14,4.695577260349637e-12
chronos-bolt-L720,patchtsmixer-hijri-L168,-7.535048516389762,4.884981308350689e-14,2.637889906509372e-12
timesfm-2.5-L168,moirai-1.1-small-L336,-5.655208743606774,1.5565697841779524e-08,6.381936115129605e-07
timesfm-2.5-L168,time-moe-200m-L720,1.5296010909062285,0.12611549926798893,0.6347282798193157
timesfm-2.5-L168,mstl_ets-nohijri,-8.37978769832327,0.0,0.0
timesfm-2.5-L168,mstl_ets-hijri,-1.7065063021072613,0.08791385395492957,0.615396977684507
timesfm-2.5-L168,sarimax-nohijri,-6.0260877071126,1.6797605528751092e-09,7.22297037736297e-08
timesfm-2.5-L168,sarimax-hijri,-6.211111808003895,5.261102664633199e-10,2.4201072257312717e-08
timesfm-2.5-L168,patchtsmixer-nohijri-L168,-4.687346368554979,2.767703240147412e-06,9.13342069248646e-05
timesfm-2.5-L168,patchtsmixer-hijri-L168,-4.7837158873851555,1.720838763707988e-06,6.195019549348757e-05
moirai-1.1-small-L336,time-moe-200m-L720,5.339101041490095,9.340857798356694e-08,3.7363431193426777e-06
moirai-1.1-small-L336,mstl_ets-nohijri,-1.158596265898666,0.24662079167921513,0.7398623750376454
moirai-1.1-small-L336,mstl_ets-hijri,2.850869417131106,0.004359987102743101,0.06136328950411274
moirai-1.1-small-L336,sarimax-nohijri,-2.9250088965757413,0.00344446375652252,0.05511142010436032
moirai-1.1-small-L336,sarimax-hijri,-3.000101658402787,0.0026988951313877685,0.045881217233592064
moirai-1.1-small-L336,patchtsmixer-nohijri-L168,2.1890919544551504,0.028590157192849297,0.37167204350704086
moirai-1.1-small-L336,patchtsmixer-hijri-L168,1.401073543933651,0.16119208196791757,0.6447683278716703
time-moe-200m-L720,mstl_ets-nohijri,-11.935798329815137,0.0,0.0
time-moe-200m-L720,mstl_ets-hijri,-3.4680719078839934,0.0005242069983928399,0.013105174959820998
time-moe-200m-L720,sarimax-nohijri,-5.905966758902338,3.5058467240389746e-09,1.4724556240963693e-07
time-moe-200m-L720,sarimax-hijri,-6.06635501743432,1.3084573424748669e-09,5.8571947292307414e-08
time-moe-200m-L720,patchtsmixer-nohijri-L168,-5.1281955802723616,2.92532452039751e-07,1.1116233177510537e-05
time-moe-200m-L720,patchtsmixer-hijri-L168,-5.112210978059779,3.1840992287257563e-07,1.1781167146285298e-05
mstl_ets-nohijri,mstl_ets-hijri,10.455547318229367,0.0,0.0
mstl_ets-nohijri,sarimax-nohijri,-1.8661409556965052,0.06202164724261183,0.5835036960951068
mstl_ets-nohijri,sarimax-hijri,-1.8930563991009448,0.05835036960951068,0.5835036960951068
mstl_ets-nohijri,patchtsmixer-nohijri-L168,4.022820073617848,5.750542696292271e-05,0.0016676573819247587
mstl_ets-nohijri,patchtsmixer-hijri-L168,2.8710671629280884,0.004090885966940849,0.06136328950411274
mstl_ets-hijri,sarimax-nohijri,-4.252918029596503,2.1100282894259692e-05,0.0006541087697220505
mstl_ets-hijri,sarimax-hijri,-4.362137746720272,1.2879773264806715e-05,0.0004121527444738149
mstl_ets-hijri,patchtsmixer-nohijri-L168,-1.8101188692302974,0.07027735541193936,0.5835036960951068
mstl_ets-hijri,patchtsmixer-hijri-L168,-2.1606144610235667,0.0307251334147689,0.37167204350704086
sarimax-nohijri,sarimax-hijri,0.1960871316492035,0.8445419681977613,0.8445419681977613
sarimax-nohijri,patchtsmixer-nohijri-L168,3.583007664645923,0.00033966063735135776,0.008831176571135302
sarimax-nohijri,patchtsmixer-hijri-L168,3.2392104850733614,0.0011986108323309708,0.027568049143612328
sarimax-hijri,patchtsmixer-nohijri-L168,3.6971700492353543,0.00021801630931683746,0.0058864403515546115
sarimax-hijri,patchtsmixer-hijri-L168,3.3352283735549335,0.0008522937315935675,0.02045504955824562
patchtsmixer-nohijri-L168,patchtsmixer-hijri-L168,-1.617418168003146,0.10578804663655261,0.6347282798193157
