model_i,model_j,dm_stat,p_raw,p_holm
lgbm-nohijri,lgbm-hijri,1.5906012252652215,0.1116993485691189,1.0
lgbm-nohijri,chronos-bolt-L720,0.9462286884707728,0.3440319566204031,1.0
lgbm-nohijri,timesfm-2.5-L168,-3.966231714555619,7.30178796040093e-05,0.0011682860736641487
lgbm-nohijri,moirai-1.1-small-L336,-18.867127629326262,0.0,0.0
lgbm-nohijri,time-moe-200m-L720,0.48884517372541136,0.6249513135478957,1.0
lgbm-nohijri,mstl_ets-nohijri,-13.63262364968933,0.0,0.0
lgbm-nohijri,mstl_ets-hijri,-12.178740842284943,0.0,0.0
lgbm-nohijri,sarimax-nohijri,-20.938749981551073,0.0,0.0
lgbm-nohijri,sarimax-hijri,-20.975039942308673,0.0,0.0
lgbm-nohijri,patchtsmixer-nohijri-L168,-18.983232135206077,0.0,0.0
lgbm-nohijri,patchtsmixer-hijri-L168,-17.53492791743544,0.0,0.0
lgbm-hijri,chronos-bolt-L720,0.2413509741009679,0.8092831066765531,1.0
lgbm-hijri,timesfm-2.5-L168,-4.055234428050565,5.008404704232028e-05,0.0008514287997194447
lgbm-hijri,moirai-1.1-small-L336,-18.248166643053253,0.0,0.0
lgbm-hijri,time-moe-200m-L720,-0.16380719920790676,0.8698829240898789,1.0
lgbm-hijri,mstl_ets-nohijri,-12.718190473007686,0.0,0.0
lgbm-hijri,mstl_ets-hijri,-11.413123086020295,0.0,0.0
lgbm-hijri,sarimax-nohijri,-20.33323563594984,0.0,0.0
lgbm-hijri,sarimax-hijri,-21.01899118380802,0.0,0.0
lgbm-hijri,patchtsmixer-nohijri-L168,-19.657079434633616,0.0,0.0
lgbm-hijri,patchtsmixer-hijri-L168,-19.29930734147886,0.0,0.0
chronos-bolt-L720,timesfm-2.5-L168,-6.661119955129547,2.7174928973749957e-11,5.706735084487491e-10
chronos-bolt-L720,moirai-1.1-small-L336,-17.694431070971206,0.0,0.0
chronos-bolt-L720,time-moe-200m-L720,-0.7436181313250427,0.45710753095313494,1.0
chronos-bolt-L720,mstl_ets-nohijri,-15.317901426085404,0.0,0.0
chronos-bolt-L720,mstl_ets-hijri,-13.614165227843493,0.0,0.0
chronos-bolt-L720,sarimax-nohijri,-22.20122148139519,0.0,0.0
chronos-bolt-L720,sarimax-hijri,-21.9412204033029,0.0,0.0
chronos-bolt-L720,patchtsmixer-nohijri-L168,-16.76281775120769,0.0,0.0
chronos-bolt-L720,patchtsmixer-hijri-L168,-15.730819162027117,0.0,0.0
timesfm-2.5-L168,moirai-1.1-small-L336,-13.284645222392136,0.0,0.0
timesfm-2.5-L168,time-moe-200m-L720,5.496211582093074,3.8803690705080385e-08,7.372701233965273e-07
